Time (s) Run #1,Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #7,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Position (m) Run #1,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #7,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.08,0.9,0.91,1.49,1.17,1.18,0.94,0.88,0.89
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.95,1.08,0.96,0.92,1.47,1.15,1.17,0.91,0.89,0.9
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.92,1.07,0.86,0.92,1.46,1.14,1.18,0.89,0.87,0.88
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.9,1.06,0.88,0.89,1.44,1.12,1.17,0.86,0.85,0.84
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.86,1.04,0.82,0.86,1.41,1.1,1.16,0.83,0.82,0.82
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.82,1.02,0.76,0.83,1.39,1.08,1.14,0.8,0.83,0.81
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.79,0.99,0.71,0.8,1.37,1.06,1.12,0.77,0.8,0.79
0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.73,1.01,0.71,0.76,1.34,1.03,1.1,0.73,0.77,0.8
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.69,0.96,0.63,0.72,1.31,1.01,1.07,0.7,0.74,0.76
0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.64,0.93,0.59,0.68,1.28,0.98,1.05,0.67,0.71,0.74
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.59,0.88,0.54,0.64,1.25,0.95,1.02,0.64,0.68,0.72
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.54,0.84,0.48,0.6,1.22,0.92,1.0,0.6,0.65,0.71
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.49,0.8,0.43,0.56,1.18,0.89,0.97,0.56,0.62,0.69
0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.43,0.77,0.38,0.51,1.15,0.86,0.94,0.53,0.59,0.67
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.4,0.73,0.34,0.47,1.11,0.83,0.9,0.49,0.57,0.65
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.33,0.68,0.27,0.43,1.06,0.78,0.87,0.46,0.54,0.63
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.27,0.64,0.22,0.38,1.07,0.8,0.84,0.42,0.51,0.61
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.21,0.59,0.16,0.34,0.99,0.72,0.81,0.39,0.48,0.59
0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.16,0.55,0.12,0.29,0.94,0.68,0.77,0.35,0.49,0.57
,0.38,,0.38,0.38,0.38,0.38,0.38,0.38,0.38,,0.5,,0.24,0.9,0.64,0.73,0.31,0.42,0.55
,0.4,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,0.44,,0.19,0.85,0.6,0.7,0.27,0.39,0.53
,0.42,,0.42,0.42,0.42,0.42,0.42,0.42,0.42,,0.39,,0.13,0.81,0.56,0.66,0.24,0.36,0.51
,0.44,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,,0.35,,0.12,0.77,0.52,0.63,0.2,0.33,0.49
,0.46,,,0.46,0.46,0.46,0.46,0.46,0.46,,0.29,,,0.72,0.47,0.58,0.16,0.3,0.47
,0.48,,,0.48,0.48,0.48,,0.48,0.48,,0.23,,,0.66,0.43,0.54,,0.27,0.45
,0.5,,,0.5,0.5,0.5,,0.5,0.5,,0.18,,,0.61,0.39,0.5,,0.24,0.43
,,,,0.52,0.52,0.52,,0.52,0.52,,,,,0.56,0.34,0.46,,0.21,0.41
,,,,0.54,0.54,0.54,,0.54,0.54,,,,,0.51,0.3,0.41,,0.17,0.4
,,,,0.56,0.56,0.56,,0.56,0.56,,,,,0.46,0.25,0.37,,0.14,0.38
,,,,0.58,0.58,0.58,,,0.58,,,,,0.41,0.21,0.33,,,0.36
,,,,0.6,0.6,0.6,,,0.6,,,,,0.36,0.16,0.29,,,0.34
,,,,0.62,,0.62,,,0.62,,,,,0.31,,0.25,,,0.32
,,,,0.64,,0.64,,,0.64,,,,,0.26,,0.2,,,0.3
,,,,0.66,,0.66,,,0.66,,,,,0.21,,0.16,,,0.28
,,,,0.68,,,,,0.68,,,,,0.15,,,,,0.26
,,,,,,,,,0.7,,,,,,,,,,0.24
,,,,,,,,,0.72,,,,,,,,,,0.21
,,,,,,,,,0.74,,,,,,,,,,0.19
,,,,,,,,,0.76,,,,,,,,,,0.17
,,,,,,,,,0.78,,,,,,,,,,0.15
,,,,,,,,,0.8,,,,,,,,,,0.14
,,,,,,,,,0.82,,,,,,,,,,0.13
